person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,cred_hist_to_age_ratio,debt_burden_index,person_home_ownership,loan_intent,cb_person_default_on_file,loan_status
37,29400,0.8,15100,14.61,0.5136,7,0.3684,0.075,OTHER,EDUCATION,N,0
49,44400,7.8,28000,16.88,0.6306,4,0.129,0.1064,MORTGAGE,EDUCATION,N,1
55,29800,7.9,14400,14.13,0.4832,2,0.0541,0.0683,RENT,MEDICAL,N,0
41,117400,2.5,2700,8.48,0.023,3,0.1304,0.002,RENT,EDUCATION,N,0
29,91700,1.2,21900,,0.2388,11,1.0,0.0302,RENT,VENTURE,N,0
33,59700,6.8,13900,13.72,0.2328,3,0.2,0.0319,RENT,EDUCATION,N,0
48,86300,9.6,19300,,0.2236,3,0.1,0.0283,RENT,PERSONAL,N,0
40,25300,5.4,8100,11.9,0.3202,10,0.4545,0.0381,OWN,EDUCATION,N,0
37,62200,7.9,24500,14.23,0.3939,7,0.3684,0.0561,MORTGAGE,DEBTCONSOLIDATION,N,0
37,86100,1.6,8300,6.98,0.0964,9,0.4737,0.0067,RENT,PERSONAL,N,0
53,36800,2.8,23000,18.6,0.625,12,0.3429,0.1163,MORTGAGE,MEDICAL,Y,0
49,43600,2.5,23400,17.76,0.5367,3,0.0968,0.0953,MORTGAGE,EDUCATION,N,0
41,76300,0.9,16600,12.21,0.2176,7,0.3043,0.0266,RENT,DEBTCONSOLIDATION,Y,1
55,52800,1.1,12700,11.72,0.2405,12,0.3243,0.0282,MORTGAGE,EDUCATION,N,0
42,54300,6.3,14600,14.23,0.2689,2,0.0833,0.0383,MORTGAGE,VENTURE,N,0
41,18200,10.3,12700,18.76,0.6978,4,0.1739,0.1309,OWN,HOMEIMPROVEMENT,Y,1
52,55000,10.5,12200,14.63,0.2218,8,0.2353,0.0324,MORTGAGE,HOMEIMPROVEMENT,N,0
49,82500,7.3,25100,13.17,0.3042,3,0.0968,0.0401,MORTGAGE,MEDICAL,N,1
42,57000,0.1,12800,9.48,0.2246,14,0.5833,0.0213,OWN,HOMEIMPROVEMENT,N,0
32,83900,1.1,10900,,0.1299,6,0.4286,0.0164,RENT,DEBTCONSOLIDATION,N,0
56,22200,11.9,25900,20.93,1.1667,4,0.1053,0.2442,RENT,MEDICAL,Y,1
38,44900,,10900,13.36,0.2428,6,0.3,0.0324,MORTGAGE,EDUCATION,N,0
46,12000,4.1,9900,18.72,0.825,2,0.0714,0.1544,RENT,MEDICAL,Y,1
36,30700,10.5,19400,17.37,0.6319,10,0.5556,0.1098,MORTGAGE,DEBTCONSOLIDATION,N,0
44,26200,6.2,15100,17.29,0.5763,8,0.3077,0.0996,RENT,EDUCATION,Y,1
62,29800,5.4,17700,17.36,0.594,3,0.0682,0.1031,RENT,MEDICAL,N,0
60,71700,5.1,21900,10.33,0.3054,4,0.0952,0.0315,RENT,VENTURE,Y,0
42,38500,11.0,20200,17.07,0.5247,6,0.25,0.0896,RENT,HOMEIMPROVEMENT,N,0
59,114500,2.0,31400,,0.2742,5,0.122,0.0347,OWN,EDUCATION,N,0
48,182100,4.6,27200,11.91,0.1494,6,0.2,0.0178,MORTGAGE,HOMEIMPROVEMENT,N,0
56,128700,7.2,10400,7.94,0.0808,7,0.1842,0.0064,MORTGAGE,VENTURE,N,0
38,80100,1.6,9600,8.86,0.1199,11,0.55,0.0106,MORTGAGE,MEDICAL,N,0
57,31700,5.5,12700,15.05,0.4006,7,0.1795,0.0603,RENT,HOMEIMPROVEMENT,N,0
51,27000,7.1,19900,19.67,0.737,11,0.3333,0.145,RENT,VENTURE,N,1
70,71500,3.1,10600,12.41,0.1483,2,0.0385,0.0184,MORTGAGE,EDUCATION,N,0
36,27200,1.8,16700,19.24,0.614,11,0.6111,0.1181,RENT,VENTURE,Y,1
40,80000,7.6,20900,9.85,0.2612,7,0.3182,0.0257,RENT,EDUCATION,N,0
45,52700,1.3,28000,18.24,0.5313,8,0.2963,0.0969,MORTGAGE,DEBTCONSOLIDATION,N,0
56,81700,1.3,21300,12.69,0.2607,9,0.2368,0.0331,RENT,HOMEIMPROVEMENT,N,0
52,74300,8.4,27000,15.78,0.3634,6,0.1765,0.0573,RENT,DEBTCONSOLIDATION,N,0
46,59000,6.2,9500,14.67,0.161,11,0.3929,0.0236,MORTGAGE,EDUCATION,Y,1
56,21000,6.1,32400,17.94,1.5429,4,0.1053,0.2768,MORTGAGE,EDUCATION,Y,1
33,98000,1.4,18000,8.13,0.1837,10,0.6667,0.0149,RENT,EDUCATION,N,0
42,21600,2.7,22300,19.59,1.0324,20,0.8333,0.2022,MORTGAGE,EDUCATION,N,1
48,106600,0.1,4800,8.0,0.045,16,0.5333,0.0036,OWN,MEDICAL,N,0
38,48100,5.2,24200,18.65,0.5031,4,0.2,0.0938,OWN,VENTURE,N,0
31,104100,10.4,12400,,0.1191,3,0.2308,0.0151,RENT,MEDICAL,N,0
31,58700,2.0,23900,14.75,0.4072,3,0.2308,0.0601,RENT,DEBTCONSOLIDATION,N,0
39,50200,13.2,9300,12.59,0.1853,10,0.4762,0.0233,MORTGAGE,DEBTCONSOLIDATION,N,0
47,56300,0.9,13700,15.72,0.2433,18,0.6207,0.0382,MORTGAGE,VENTURE,N,0
34,44400,3.5,18800,14.69,0.4234,11,0.6875,0.0622,RENT,HOMEIMPROVEMENT,N,0
51,44900,9.3,16400,14.95,0.3653,9,0.2727,0.0546,RENT,MEDICAL,Y,0
57,34000,3.7,16800,19.67,0.4941,12,0.3077,0.0972,RENT,EDUCATION,N,1
40,38700,8.8,15000,17.55,0.3876,10,0.4545,0.068,RENT,HOMEIMPROVEMENT,Y,1
43,62400,3.5,11800,,0.1891,4,0.16,0.0239,RENT,EDUCATION,Y,0
47,42700,2.2,18500,16.17,0.4333,5,0.1724,0.0701,RENT,HOMEIMPROVEMENT,N,0
44,20900,8.2,31300,17.41,1.4976,9,0.3462,0.2607,RENT,MEDICAL,Y,1
48,72000,3.9,27600,10.66,0.3833,5,0.1667,0.0409,OWN,MEDICAL,N,0
47,62700,12.8,10900,8.65,0.1738,6,0.2069,0.015,RENT,VENTURE,N,0
31,106300,0.9,2600,9.86,0.0245,5,0.3846,0.0024,RENT,VENTURE,Y,0
61,78500,6.4,25600,15.89,0.3261,5,0.1163,0.0518,OWN,DEBTCONSOLIDATION,N,0
53,43300,1.7,6500,10.52,0.1501,9,0.2571,0.0158,MORTGAGE,MEDICAL,N,0
49,136400,12.9,14000,8.12,0.1026,9,0.2903,0.0083,MORTGAGE,MEDICAL,N,0
69,34800,0.5,11900,15.66,0.342,10,0.1961,0.0536,RENT,DEBTCONSOLIDATION,N,0
25,48300,7.0,4400,8.48,0.0911,4,0.5714,0.0077,MORTGAGE,PERSONAL,N,0
44,107800,2.2,21100,13.81,0.1957,8,0.3077,0.027,MORTGAGE,EDUCATION,N,0
34,159700,4.4,21400,12.43,0.134,2,0.125,0.0167,MORTGAGE,VENTURE,N,0
44,33500,6.3,18600,16.74,0.5552,3,0.1154,0.0929,RENT,VENTURE,Y,1
44,20800,7.7,3700,6.37,0.1779,7,0.2692,0.0113,MORTGAGE,EDUCATION,N,0
40,75700,2.3,20700,13.5,0.2734,3,0.1364,0.0369,RENT,EDUCATION,N,0
53,19000,7.6,17000,21.66,0.8947,11,0.3143,0.1938,MORTGAGE,EDUCATION,Y,1
41,83800,0.7,23200,11.64,0.2768,6,0.2609,0.0322,MORTGAGE,DEBTCONSOLIDATION,N,0
50,25300,8.8,10900,16.11,0.4308,7,0.2188,0.0694,RENT,EDUCATION,N,0
35,41800,3.1,24700,,0.5909,9,0.5294,0.0748,RENT,VENTURE,Y,0
48,73500,4.2,5700,11.19,0.0776,5,0.1667,0.0087,MORTGAGE,DEBTCONSOLIDATION,N,0
57,119400,6.7,15800,,0.1323,6,0.1538,0.0167,OWN,EDUCATION,N,0
67,72000,0.3,16100,9.66,0.2236,15,0.3061,0.0216,RENT,PERSONAL,N,0
53,68200,16.5,12500,9.56,0.1833,2,0.0571,0.0175,RENT,HOMEIMPROVEMENT,N,0
44,36800,8.6,9300,11.53,0.2527,8,0.3077,0.0291,OWN,VENTURE,N,0
53,30200,0.1,9900,10.44,0.3278,4,0.1143,0.0342,RENT,EDUCATION,N,0
62,169300,,5100,8.66,0.0301,5,0.1136,0.0026,MORTGAGE,VENTURE,N,0
42,27100,6.1,23000,20.39,0.8487,12,0.5,0.173,RENT,VENTURE,N,1
49,32600,2.4,4600,7.01,0.1411,2,0.0645,0.0099,RENT,PERSONAL,N,0
48,18700,3.5,10700,18.44,0.5722,6,0.2,0.1055,MORTGAGE,VENTURE,N,0
38,70600,8.3,19700,11.7,0.279,5,0.25,0.0326,RENT,EDUCATION,N,0
32,21300,2.9,9800,12.86,0.4601,3,0.2143,0.0592,RENT,MEDICAL,Y,1
55,52300,0.7,15600,13.37,0.2983,8,0.2162,0.0399,MORTGAGE,EDUCATION,N,0
37,23200,,8200,14.05,0.3534,4,0.2105,0.0497,OWN,PERSONAL,N,0
38,45100,1.5,17800,17.15,0.3947,6,0.3,0.0677,MORTGAGE,DEBTCONSOLIDATION,Y,1
46,69500,0.9,13100,7.01,0.1885,3,0.1071,0.0132,RENT,PERSONAL,N,0
51,38600,1.1,4300,11.55,0.1114,8,0.2424,0.0129,RENT,EDUCATION,Y,0
63,40500,3.5,5500,12.56,0.1358,16,0.3556,0.0171,MORTGAGE,VENTURE,N,1
37,54900,7.7,25200,11.51,0.459,5,0.2632,0.0528,OWN,MEDICAL,N,0
41,34000,,10000,13.05,0.2941,7,0.3043,0.0384,RENT,PERSONAL,N,1
48,18300,0.7,10000,18.0,0.5464,5,0.1667,0.0984,RENT,VENTURE,N,0
43,36100,7.2,17700,16.74,0.4903,4,0.16,0.0821,RENT,EDUCATION,N,1
41,38500,2.2,15400,17.39,0.4,4,0.1739,0.0696,RENT,VENTURE,Y,0
46,148600,3.0,20900,7.48,0.1406,7,0.25,0.0105,MORTGAGE,VENTURE,N,0
37,75100,5.1,9600,8.28,0.1278,6,0.3158,0.0106,RENT,PERSONAL,N,0
48,68100,1.8,6700,8.91,0.0984,10,0.3333,0.0088,RENT,EDUCATION,N,0
33,86500,0.9,6600,8.0,0.0763,5,0.3333,0.0061,RENT,HOMEIMPROVEMENT,N,0
47,62000,4.3,9600,8.53,0.1548,10,0.3448,0.0132,RENT,HOMEIMPROVEMENT,N,0
36,57100,18.0,14200,14.98,0.2487,9,0.5,0.0373,RENT,EDUCATION,N,0
30,90200,1.4,17500,12.59,0.194,12,1.0,0.0244,RENT,PERSONAL,N,0
46,33000,14.7,23300,20.94,0.7061,5,0.1786,0.1479,RENT,EDUCATION,Y,1
30,22000,1.6,5500,14.1,0.25,11,0.9167,0.0352,RENT,PERSONAL,N,0
62,36500,8.6,11800,15.05,0.3233,3,0.0682,0.0487,OWN,EDUCATION,N,0
36,69600,0.9,2700,11.22,0.0388,15,0.8333,0.0044,MORTGAGE,DEBTCONSOLIDATION,N,0
44,43000,0.3,9800,13.18,0.2279,6,0.2308,0.03,OWN,DEBTCONSOLIDATION,N,0
41,111900,4.8,21500,11.08,0.1921,4,0.1739,0.0213,RENT,EDUCATION,N,0
49,32400,8.1,4700,11.0,0.1451,4,0.129,0.016,RENT,PERSONAL,N,0
46,83600,22.2,11500,10.82,0.1376,6,0.2143,0.0149,RENT,VENTURE,N,0
55,32600,11.3,10600,14.11,0.3252,3,0.0811,0.0459,OWN,MEDICAL,N,0
42,67400,2.3,11300,7.24,0.1677,4,0.1667,0.0121,MORTGAGE,HOMEIMPROVEMENT,N,0
50,40400,0.1,18500,12.75,0.4579,2,0.0625,0.0584,RENT,HOMEIMPROVEMENT,N,0
41,100400,0.1,11000,8.17,0.1096,5,0.2174,0.009,RENT,EDUCATION,Y,0
42,47500,3.5,23100,15.05,0.4863,3,0.125,0.0732,MORTGAGE,EDUCATION,N,0
64,55400,3.1,15300,12.95,0.2762,8,0.1739,0.0358,MORTGAGE,EDUCATION,N,0
60,60700,2.6,20600,10.47,0.3394,7,0.1667,0.0355,MORTGAGE,MEDICAL,Y,0
43,18100,0.5,17900,21.31,0.989,8,0.32,0.2108,MORTGAGE,VENTURE,N,1
44,127000,1.4,25500,12.14,0.2008,9,0.3462,0.0244,RENT,HOMEIMPROVEMENT,N,0
41,53300,2.9,12300,10.3,0.2308,2,0.087,0.0238,MORTGAGE,PERSONAL,N,0
37,48600,15.7,24600,15.91,0.5062,13,0.6842,0.0805,MORTGAGE,MEDICAL,N,0
44,47000,,25400,20.85,0.5404,6,0.2308,0.1127,MORTGAGE,VENTURE,N,1
38,31200,8.8,4000,5.42,0.1282,6,0.3,0.0069,MORTGAGE,PERSONAL,N,0
52,56700,1.0,6100,7.29,0.1076,5,0.1471,0.0078,MORTGAGE,EDUCATION,N,0
44,58700,0.6,10300,9.35,0.1755,5,0.1923,0.0164,RENT,PERSONAL,N,0
45,47700,3.4,24700,15.0,0.5178,2,0.0741,0.0777,MORTGAGE,EDUCATION,N,1
35,157900,13.2,19200,,0.1216,4,0.2353,0.0154,MORTGAGE,DEBTCONSOLIDATION,N,0
48,93100,0.9,2300,7.43,0.0247,3,0.1,0.0018,RENT,MEDICAL,N,0
44,167600,0.2,27100,9.9,0.1617,13,0.5,0.016,OTHER,MEDICAL,N,0
34,65100,2.7,20000,,0.3072,5,0.3125,0.0389,RENT,EDUCATION,N,1
34,70700,2.2,25800,15.44,0.3649,8,0.5,0.0563,RENT,EDUCATION,N,0
42,43400,10.8,12900,14.55,0.2972,4,0.1667,0.0432,RENT,VENTURE,N,1
41,28200,23.0,12100,16.21,0.4291,9,0.3913,0.0696,MORTGAGE,EDUCATION,N,0
51,44500,5.0,18700,14.68,0.4202,2,0.0606,0.0617,RENT,MEDICAL,Y,1
37,22600,0.9,21500,18.84,0.9513,6,0.3158,0.1792,RENT,MEDICAL,Y,1
52,31100,4.1,13900,14.77,0.4469,5,0.1471,0.066,OWN,EDUCATION,N,0
36,47500,0.0,10400,8.4,0.2189,14,0.7778,0.0184,RENT,MEDICAL,N,0
44,77800,11.4,12500,9.33,0.1607,15,0.5769,0.015,RENT,EDUCATION,N,0
48,59400,7.8,13900,11.63,0.234,2,0.0667,0.0272,MORTGAGE,HOMEIMPROVEMENT,N,0
39,78300,0.3,18000,7.03,0.2299,11,0.5238,0.0162,MORTGAGE,EDUCATION,N,0
51,45800,0.9,18100,14.31,0.3952,2,0.0606,0.0566,MORTGAGE,EDUCATION,N,0
49,33100,0.5,27100,19.21,0.8187,3,0.0968,0.1573,MORTGAGE,EDUCATION,Y,1
52,102300,0.3,23600,13.82,0.2307,3,0.0882,0.0319,MORTGAGE,MEDICAL,N,0
52,182100,10.1,16500,13.23,0.0906,5,0.1471,0.012,OTHER,PERSONAL,N,0
42,53200,3.5,6700,11.24,0.1259,7,0.2917,0.0142,RENT,PERSONAL,N,0
58,54800,0.7,10500,14.02,0.1916,2,0.05,0.0269,RENT,EDUCATION,N,0
60,61200,1.9,19400,12.88,0.317,4,0.0952,0.0408,MORTGAGE,EDUCATION,N,0
53,46400,31.9,14700,13.09,0.3168,7,0.2,0.0415,RENT,MEDICAL,N,0
63,68800,7.1,13700,10.28,0.1991,3,0.0667,0.0205,MORTGAGE,MEDICAL,N,0
70,58400,10.9,30700,16.66,0.5257,4,0.0769,0.0876,RENT,VENTURE,N,0
55,112200,0.1,8600,9.4,0.0766,15,0.4054,0.0072,MORTGAGE,EDUCATION,N,0
27,54600,4.7,25200,16.81,0.4615,2,0.2222,0.0776,OWN,DEBTCONSOLIDATION,Y,1
47,33100,2.5,9200,15.06,0.2779,11,0.3793,0.0419,RENT,EDUCATION,Y,1
29,46800,6.3,14100,12.94,0.3013,7,0.6364,0.039,RENT,VENTURE,N,0
54,31300,5.9,11200,15.39,0.3578,3,0.0833,0.0551,RENT,VENTURE,N,1
48,59500,,23400,13.64,0.3933,2,0.0667,0.0536,RENT,EDUCATION,N,1
35,80600,17.0,17500,11.79,0.2171,5,0.2941,0.0256,RENT,PERSONAL,N,0
58,32600,6.6,10100,15.74,0.3098,2,0.05,0.0488,RENT,EDUCATION,N,0
36,94500,0.7,14100,11.03,0.1492,8,0.4444,0.0165,OTHER,VENTURE,N,0
41,20000,,8100,13.79,0.405,8,0.3478,0.0558,OTHER,EDUCATION,Y,0
49,41500,5.4,10200,14.17,0.2458,17,0.5484,0.0348,RENT,PERSONAL,N,0
44,100800,8.7,23800,12.5,0.2361,11,0.4231,0.0295,RENT,EDUCATION,N,0
47,126200,3.6,28700,12.58,0.2274,2,0.069,0.0286,RENT,DEBTCONSOLIDATION,N,0
50,32100,5.4,13600,12.06,0.4237,12,0.375,0.0511,MORTGAGE,PERSONAL,N,1
51,18500,8.2,11100,16.85,0.6,5,0.1515,0.1011,MORTGAGE,MEDICAL,Y,1
61,40500,,9100,11.25,0.2247,8,0.186,0.0253,MORTGAGE,MEDICAL,N,0
65,79400,3.3,21200,13.45,0.267,2,0.0426,0.0359,MORTGAGE,MEDICAL,N,0
40,112100,3.6,6100,10.34,0.0544,2,0.0909,0.0056,MORTGAGE,VENTURE,Y,0
45,19700,10.0,6500,12.41,0.3299,4,0.1481,0.0409,MORTGAGE,EDUCATION,N,0
46,44500,4.2,9200,10.75,0.2067,4,0.1429,0.0222,RENT,EDUCATION,N,0
35,41400,12.5,22300,18.53,0.5386,3,0.1765,0.0998,RENT,PERSONAL,Y,1
37,66700,0.6,16100,11.18,0.2414,11,0.5789,0.027,MORTGAGE,MEDICAL,N,0
35,202100,0.8,15600,11.95,0.0772,7,0.4118,0.0092,MORTGAGE,DEBTCONSOLIDATION,N,0
32,53200,2.4,30500,17.85,0.5733,9,0.6429,0.1023,OTHER,HOMEIMPROVEMENT,N,1
58,124900,,17500,9.69,0.1401,2,0.05,0.0136,RENT,MEDICAL,N,0
35,19300,11.5,19200,19.48,0.9948,12,0.7059,0.1938,RENT,DEBTCONSOLIDATION,Y,1
32,68100,1.2,22300,11.0,0.3275,6,0.4286,0.036,MORTGAGE,MEDICAL,N,0
39,37500,2.0,7500,11.01,0.2,3,0.1429,0.022,RENT,MEDICAL,N,0
40,30500,0.6,15700,21.53,0.5148,2,0.0909,0.1108,RENT,DEBTCONSOLIDATION,N,1
50,41200,16.4,12600,13.06,0.3058,12,0.375,0.0399,RENT,HOMEIMPROVEMENT,Y,0
41,34300,5.2,8500,,0.2478,6,0.2609,0.0314,MORTGAGE,EDUCATION,N,0
70,98900,0.8,21400,11.27,0.2164,2,0.0385,0.0244,RENT,MEDICAL,N,0
37,112200,3.7,30200,10.99,0.2692,2,0.1053,0.0296,MORTGAGE,EDUCATION,N,0
52,34600,1.1,4300,8.74,0.1243,8,0.2353,0.0109,RENT,HOMEIMPROVEMENT,Y,0
37,42900,3.1,15000,,0.3497,9,0.4737,0.0443,RENT,PERSONAL,N,0
66,54400,2.9,3400,9.15,0.0625,6,0.125,0.0057,RENT,EDUCATION,N,0
47,46400,8.2,8600,10.59,0.1853,3,0.1034,0.0196,RENT,VENTURE,Y,0
39,77500,4.1,29800,14.07,0.3845,8,0.381,0.0541,RENT,PERSONAL,N,0
42,87900,1.0,11300,11.59,0.1286,5,0.2083,0.0149,MORTGAGE,EDUCATION,N,0
36,49500,1.5,18200,14.95,0.3677,9,0.5,0.055,RENT,MEDICAL,N,1
42,149100,10.3,17000,9.24,0.114,2,0.0833,0.0105,RENT,EDUCATION,N,0
60,101500,6.1,9400,10.2,0.0926,9,0.2143,0.0094,RENT,EDUCATION,N,0
46,54300,5.1,22200,12.38,0.4088,5,0.1786,0.0506,MORTGAGE,HOMEIMPROVEMENT,N,0
40,63000,0.6,18100,12.79,0.2873,9,0.4091,0.0367,RENT,DEBTCONSOLIDATION,N,0
39,78000,0.8,13700,14.14,0.1756,4,0.1905,0.0248,MORTGAGE,HOMEIMPROVEMENT,N,0
33,63300,0.7,21300,15.0,0.3365,8,0.5333,0.0505,MORTGAGE,HOMEIMPROVEMENT,N,0
43,46300,5.5,16800,13.24,0.3629,7,0.28,0.048,RENT,VENTURE,N,0
60,162400,0.8,30200,10.65,0.186,6,0.1429,0.0198,MORTGAGE,VENTURE,N,0
43,67500,9.8,25500,15.4,0.3778,7,0.28,0.0582,OWN,MEDICAL,N,0
34,31900,0.2,22700,17.89,0.7116,16,1.0,0.1273,RENT,MEDICAL,Y,1
37,116800,10.0,14200,10.29,0.1216,4,0.2105,0.0125,OWN,MEDICAL,N,0
27,17300,0.2,23400,20.91,1.3526,9,1.0,0.2828,RENT,VENTURE,Y,1
31,70800,11.4,8600,12.82,0.1215,6,0.4615,0.0156,RENT,HOMEIMPROVEMENT,N,0
49,41200,6.3,4800,,0.1165,11,0.3548,0.0147,RENT,MEDICAL,N,1
59,73600,14.0,2100,5.42,0.0285,7,0.1707,0.0015,MORTGAGE,VENTURE,N,0
43,106600,5.8,25100,13.54,0.2355,2,0.08,0.0319,RENT,HOMEIMPROVEMENT,N,0
55,36600,3.2,12600,15.38,0.3443,5,0.1351,0.053,RENT,PERSONAL,Y,0
46,50600,10.4,25400,16.02,0.502,8,0.2857,0.0804,OWN,VENTURE,N,0
45,45600,7.3,20300,14.49,0.4452,8,0.2963,0.0645,MORTGAGE,HOMEIMPROVEMENT,N,0
41,52200,1.4,5500,7.08,0.1054,9,0.3913,0.0075,RENT,HOMEIMPROVEMENT,N,0
44,45500,0.7,27900,19.13,0.6132,2,0.0769,0.1173,RENT,EDUCATION,Y,1
63,124000,2.1,23400,13.32,0.1887,2,0.0444,0.0251,RENT,EDUCATION,N,0
63,112500,4.4,8700,9.86,0.0773,5,0.1111,0.0076,RENT,EDUCATION,N,0
44,46800,3.5,6500,11.5,0.1389,7,0.2692,0.016,MORTGAGE,PERSONAL,N,0
43,87400,3.4,9600,10.45,0.1098,2,0.08,0.0115,MORTGAGE,VENTURE,N,0
41,37500,5.1,11200,11.12,0.2987,3,0.1304,0.0332,RENT,MEDICAL,Y,0
49,88200,8.4,12700,11.88,0.144,4,0.129,0.0171,OTHER,DEBTCONSOLIDATION,N,0
58,71500,1.6,11000,14.43,0.1538,5,0.125,0.0222,RENT,VENTURE,N,0
37,52000,2.2,10900,9.01,0.2096,8,0.4211,0.0189,RENT,EDUCATION,N,0
42,40600,3.5,4600,14.05,0.1133,3,0.125,0.0159,RENT,VENTURE,N,0
40,53800,2.0,21500,17.17,0.3996,3,0.1364,0.0686,RENT,HOMEIMPROVEMENT,N,1
38,41900,0.3,14900,16.18,0.3556,8,0.4,0.0575,MORTGAGE,MEDICAL,N,0
51,76300,1.0,18300,13.72,0.2398,8,0.2424,0.0329,RENT,EDUCATION,N,0
44,31800,1.0,13200,15.06,0.4151,10,0.3846,0.0625,RENT,MEDICAL,N,1
45,70400,1.0,9100,6.11,0.1293,5,0.1852,0.0079,MORTGAGE,MEDICAL,N,0
38,48100,2.5,27600,19.9,0.5738,4,0.2,0.1142,MORTGAGE,DEBTCONSOLIDATION,Y,1
51,35400,0.0,20100,17.75,0.5678,16,0.4848,0.1008,MORTGAGE,EDUCATION,N,0
59,48000,0.3,15200,12.15,0.3167,4,0.0976,0.0385,MORTGAGE,PERSONAL,N,0
43,39300,6.7,22400,15.71,0.57,2,0.08,0.0895,RENT,EDUCATION,Y,0
51,59500,16.3,7300,9.99,0.1227,5,0.1515,0.0123,RENT,DEBTCONSOLIDATION,N,0
47,85600,0.7,5000,9.0,0.0584,2,0.069,0.0053,MORTGAGE,EDUCATION,N,0
37,71100,11.4,5700,11.6,0.0802,10,0.5263,0.0093,RENT,MEDICAL,N,0
36,81600,,12700,10.54,0.1556,11,0.6111,0.0164,RENT,EDUCATION,Y,0
34,229700,2.0,7200,8.18,0.0313,9,0.5625,0.0026,RENT,MEDICAL,N,0
30,37300,0.1,17600,14.11,0.4718,2,0.1667,0.0666,MORTGAGE,PERSONAL,N,0
60,53000,28.3,21700,13.61,0.4094,7,0.1667,0.0557,MORTGAGE,PERSONAL,N,0
40,36600,0.8,5800,10.7,0.1585,2,0.0909,0.017,OWN,PERSONAL,N,0
59,49200,0.2,19900,15.56,0.4045,2,0.0488,0.0629,MORTGAGE,MEDICAL,N,1
55,56400,0.9,9500,13.86,0.1684,10,0.2703,0.0233,RENT,EDUCATION,N,0
50,58100,7.5,4400,7.85,0.0757,3,0.0938,0.0059,RENT,EDUCATION,N,0
38,32600,3.0,10600,13.7,0.3252,10,0.5,0.0446,RENT,PERSONAL,N,0
30,155100,2.4,17500,10.63,0.1128,4,0.3333,0.012,MORTGAGE,EDUCATION,N,0
34,65500,4.5,16500,7.84,0.2519,15,0.9375,0.0197,OTHER,PERSONAL,N,0
42,30400,7.7,27800,18.96,0.9145,5,0.2083,0.1734,RENT,MEDICAL,Y,1
37,63800,0.2,4100,5.42,0.0643,3,0.1579,0.0035,RENT,EDUCATION,N,0
35,17500,8.3,18900,19.61,1.08,17,1.0,0.2118,RENT,PERSONAL,N,1
27,120400,9.0,12600,9.33,0.1047,8,0.8889,0.0098,RENT,DEBTCONSOLIDATION,N,0
44,72600,16.4,10700,11.75,0.1474,8,0.3077,0.0173,RENT,VENTURE,N,0
45,111800,5.7,15400,10.44,0.1377,9,0.3333,0.0144,RENT,MEDICAL,N,0
39,63900,9.7,10700,12.08,0.1674,6,0.2857,0.0202,RENT,EDUCATION,N,0
53,71000,4.0,24500,14.98,0.3451,10,0.2857,0.0517,RENT,VENTURE,N,0
48,32100,1.0,8900,13.62,0.2773,5,0.1667,0.0378,RENT,HOMEIMPROVEMENT,Y,0
40,62400,7.4,6500,7.07,0.1042,7,0.3182,0.0074,RENT,EDUCATION,N,0
51,155000,5.1,25700,10.16,0.1658,5,0.1515,0.0168,RENT,EDUCATION,N,0
42,28700,1.4,6900,9.49,0.2404,10,0.4167,0.0228,RENT,EDUCATION,Y,0
31,165400,1.0,8300,,0.0502,12,0.9231,0.0064,RENT,VENTURE,N,0
36,40800,0.5,4000,,0.098,4,0.2222,0.0124,RENT,MEDICAL,Y,0
45,108900,6.6,18500,13.69,0.1699,5,0.1852,0.0233,RENT,MEDICAL,N,0
63,119000,1.1,16000,12.91,0.1345,5,0.1111,0.0174,RENT,VENTURE,N,0
36,83800,7.6,9100,10.45,0.1086,13,0.7222,0.0113,MORTGAGE,EDUCATION,N,0
63,44700,3.2,15000,13.76,0.3356,12,0.2667,0.0462,MORTGAGE,HOMEIMPROVEMENT,N,0
52,53600,4.7,2800,11.24,0.0522,4,0.1176,0.0059,MORTGAGE,VENTURE,Y,0
56,36800,9.3,23800,18.87,0.6467,5,0.1316,0.122,RENT,EDUCATION,N,1
37,45800,4.1,16300,13.89,0.3559,3,0.1579,0.0494,MORTGAGE,PERSONAL,N,1
35,58600,2.3,20000,13.84,0.3413,2,0.1176,0.0472,OTHER,PERSONAL,N,0
51,44800,7.2,11200,12.0,0.25,5,0.1515,0.03,OTHER,EDUCATION,N,1
48,80800,1.0,14000,9.26,0.1733,10,0.3333,0.016,RENT,DEBTCONSOLIDATION,N,0
40,54700,3.6,30900,15.15,0.5649,4,0.1818,0.0856,RENT,HOMEIMPROVEMENT,N,0
53,67700,4.7,7300,9.47,0.1078,7,0.2,0.0102,RENT,HOMEIMPROVEMENT,N,0
54,84500,0.7,23500,14.87,0.2781,3,0.0833,0.0414,OWN,VENTURE,N,1
40,53300,7.7,28700,16.23,0.5385,12,0.5455,0.0874,RENT,PERSONAL,N,1
41,64000,0.3,14800,10.98,0.2312,2,0.087,0.0254,MORTGAGE,HOMEIMPROVEMENT,N,0
44,72500,8.3,20700,10.33,0.2855,2,0.0769,0.0295,MORTGAGE,PERSONAL,N,0
38,36600,0.4,5900,7.56,0.1612,9,0.45,0.0122,RENT,HOMEIMPROVEMENT,N,0
