person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
32,38800,OTHER,4.4,DEBTCONSOLIDATION,21700,17.74,0,0.56,N,5
42,47400,MORTGAGE,6.4,MEDICAL,16800,12.91,1,0.35,N,9
56,73400,RENT,1.3,EDUCATION,12700,,0,0.17,N,8
32,72200,RENT,8.5,DEBTCONSOLIDATION,19600,15.11,0,0.27,N,5
36,47200,MORTGAGE,0.2,VENTURE,3300,9.24,0,0.07,N,3
37,69800,RENT,2.9,MEDICAL,17400,14.48,0,0.25,N,4
36,44400,RENT,5.0,PERSONAL,8900,5.42,1,0.2,N,10
50,50900,OWN,1.7,DEBTCONSOLIDATION,17700,14.33,0,0.35,N,12
38,48500,MORTGAGE,5.8,DEBTCONSOLIDATION,7100,,0,0.15,N,4
51,98900,MORTGAGE,10.1,EDUCATION,8000,8.92,0,0.08,N,2
44,24700,MORTGAGE,0.5,VENTURE,13000,18.22,1,0.53,N,2
31,77500,MORTGAGE,3.6,PERSONAL,14600,13.82,0,0.19,N,2
40,66000,OWN,0.1,EDUCATION,12300,7.85,0,0.19,N,3
53,15600,RENT,1.6,VENTURE,16500,,1,1.06,Y,5
45,87500,MORTGAGE,0.7,EDUCATION,4800,10.02,0,0.05,N,2
41,93700,MORTGAGE,4.9,MEDICAL,8300,10.37,0,0.09,N,5
56,43400,OWN,1.4,EDUCATION,2000,6.94,0,0.05,N,15
35,70700,MORTGAGE,1.7,VENTURE,15400,,1,0.22,N,5
39,62800,MORTGAGE,1.2,EDUCATION,18500,12.89,1,0.29,N,2
52,184900,RENT,1.4,PERSONAL,13600,8.34,0,0.07,N,8
50,71400,RENT,1.3,EDUCATION,13200,12.53,0,0.18,N,13
35,57400,RENT,6.0,PERSONAL,12500,14.77,0,0.22,N,4
48,98900,RENT,15.6,EDUCATION,10800,8.58,0,0.11,N,9
38,131200,RENT,3.4,VENTURE,15900,10.89,0,0.12,N,7
29,169300,RENT,4.6,PERSONAL,2300,6.14,0,0.01,N,7
41,39000,OTHER,8.5,EDUCATION,16100,14.66,1,0.41,N,5
65,68600,RENT,3.2,PERSONAL,13800,10.02,0,0.2,N,4
54,38500,RENT,1.8,HOMEIMPROVEMENT,16800,17.98,0,0.44,N,7
43,194200,MORTGAGE,15.1,MEDICAL,23700,12.23,0,0.12,N,8
32,55600,RENT,11.8,EDUCATION,22700,13.56,0,0.41,N,10
29,91700,RENT,1.2,VENTURE,21900,,0,0.24,N,11
44,49500,RENT,6.1,DEBTCONSOLIDATION,12200,12.27,0,0.25,Y,3
47,71300,RENT,5.2,PERSONAL,11800,10.98,0,0.17,Y,6
50,20100,OWN,5.2,PERSONAL,8500,16.32,0,0.42,Y,2
49,96000,MORTGAGE,8.9,DEBTCONSOLIDATION,3900,8.8,0,0.04,N,6
50,110900,MORTGAGE,5.6,DEBTCONSOLIDATION,14100,10.45,0,0.13,N,3
46,39100,MORTGAGE,3.6,EDUCATION,30300,21.74,1,0.77,N,4
56,20000,RENT,9.4,VENTURE,20200,19.89,1,1.01,Y,9
39,122500,MORTGAGE,1.5,DEBTCONSOLIDATION,15000,9.45,0,0.12,N,6
44,114200,MORTGAGE,5.7,PERSONAL,10100,9.86,0,0.09,N,7
31,83700,OWN,6.0,MEDICAL,6800,7.52,0,0.08,N,5
39,48900,RENT,10.2,DEBTCONSOLIDATION,9500,,0,0.19,Y,2
53,46400,RENT,31.9,MEDICAL,14700,13.09,0,0.32,N,7
50,112800,RENT,4.1,MEDICAL,16800,9.35,0,0.15,Y,4
28,45400,RENT,3.3,EDUCATION,11300,13.87,0,0.25,N,6
66,59100,MORTGAGE,4.6,DEBTCONSOLIDATION,6300,12.51,0,0.11,N,13
45,54000,RENT,5.4,EDUCATION,9500,11.46,0,0.18,N,15
45,64900,RENT,6.2,HOMEIMPROVEMENT,9400,9.29,0,0.14,N,12
38,51100,MORTGAGE,1.7,MEDICAL,14700,11.74,0,0.29,Y,5
40,54500,RENT,3.3,PERSONAL,6300,10.68,0,0.12,N,5
45,145100,RENT,2.3,EDUCATION,9900,8.81,0,0.07,Y,10
49,72300,OWN,0.2,VENTURE,10900,13.23,0,0.15,N,10
46,66900,MORTGAGE,4.7,EDUCATION,14600,11.71,0,0.22,Y,2
39,85100,MORTGAGE,10.4,DEBTCONSOLIDATION,10100,11.45,0,0.12,N,7
36,29300,MORTGAGE,12.7,VENTURE,7400,12.77,0,0.25,N,2
36,94800,RENT,3.6,PERSONAL,3600,8.58,0,0.04,N,5
54,64000,RENT,7.3,DEBTCONSOLIDATION,7900,11.25,0,0.12,N,3
53,38600,RENT,6.2,EDUCATION,22600,18.51,1,0.59,N,9
48,51400,RENT,1.3,VENTURE,11000,11.33,0,0.21,N,5
54,72600,MORTGAGE,0.3,EDUCATION,14800,9.15,1,0.2,N,5
42,56800,RENT,6.9,EDUCATION,13800,10.26,0,0.24,N,2
52,98500,RENT,1.7,PERSONAL,9700,11.26,0,0.1,N,9
49,35800,MORTGAGE,4.0,EDUCATION,23200,18.95,0,0.65,N,10
52,29200,RENT,3.7,VENTURE,27600,19.41,1,0.95,Y,3
35,35600,OTHER,8.5,EDUCATION,8600,13.1,0,0.24,N,9
27,43200,RENT,5.2,EDUCATION,22000,15.95,0,0.51,N,5
46,58300,MORTGAGE,9.4,VENTURE,20300,14.54,1,0.35,N,10
30,45100,MORTGAGE,7.0,VENTURE,23000,16.29,0,0.51,N,8
41,28200,MORTGAGE,23.0,EDUCATION,12100,16.21,0,0.43,N,9
28,25700,RENT,10.0,VENTURE,18300,18.78,1,0.71,Y,5
56,26800,RENT,1.2,PERSONAL,8200,10.23,0,0.31,N,7
53,46200,RENT,16.3,PERSONAL,29700,21.35,1,0.64,Y,6
47,34700,MORTGAGE,2.1,DEBTCONSOLIDATION,19300,18.36,0,0.56,N,3
37,43900,MORTGAGE,4.7,DEBTCONSOLIDATION,5600,10.1,0,0.13,N,10
31,112400,MORTGAGE,13.0,PERSONAL,24600,11.45,0,0.22,N,9
28,28500,RENT,1.2,VENTURE,29000,,1,1.02,N,8
39,63900,RENT,9.7,EDUCATION,10700,12.08,0,0.17,N,6
50,28200,RENT,15.3,EDUCATION,14800,14.85,1,0.52,Y,4
41,26000,MORTGAGE,9.6,VENTURE,32300,19.11,1,1.24,N,11
48,66500,MORTGAGE,8.6,HOMEIMPROVEMENT,13000,10.54,0,0.2,N,6
49,78500,RENT,1.5,MEDICAL,17800,10.74,0,0.23,N,8
50,83600,MORTGAGE,2.6,EDUCATION,13000,9.9,0,0.16,N,5
30,99800,RENT,7.1,MEDICAL,5500,9.96,0,0.06,N,8
37,49100,MORTGAGE,0.6,EDUCATION,14200,14.94,0,0.29,N,5
48,63000,RENT,11.0,VENTURE,22600,17.73,1,0.36,Y,2
59,43800,MORTGAGE,1.2,EDUCATION,4400,8.6,0,0.1,N,6
55,110300,MORTGAGE,4.2,HOMEIMPROVEMENT,12800,8.96,0,0.12,N,8
46,32800,RENT,0.6,DEBTCONSOLIDATION,22500,19.45,1,0.69,Y,16
56,71400,RENT,1.0,EDUCATION,11100,8.83,0,0.16,N,6
46,30200,RENT,4.4,EDUCATION,30500,17.87,1,1.01,N,11
32,57600,RENT,,HOMEIMPROVEMENT,11600,7.24,0,0.2,N,7
50,22400,OWN,1.6,DEBTCONSOLIDATION,21200,22.72,1,0.95,Y,6
55,61400,RENT,0.6,HOMEIMPROVEMENT,9200,7.01,0,0.15,N,4
63,160500,RENT,4.0,MEDICAL,10700,11.17,0,0.07,N,7
39,39800,MORTGAGE,9.2,EDUCATION,19300,15.85,0,0.48,N,3
35,47400,RENT,1.1,VENTURE,4900,8.56,0,0.1,N,8
52,87300,RENT,5.9,HOMEIMPROVEMENT,6100,5.42,0,0.07,N,7
47,55500,RENT,2.4,EDUCATION,9500,11.44,0,0.17,N,3
46,106100,MORTGAGE,14.3,DEBTCONSOLIDATION,9300,7.6,0,0.09,N,4
57,67300,MORTGAGE,0.4,MEDICAL,5200,7.8,0,0.08,N,2
52,87700,OWN,0.2,EDUCATION,30000,15.19,0,0.34,N,6
48,18300,RENT,0.7,VENTURE,10000,18.0,0,0.55,N,5
40,57000,RENT,7.6,VENTURE,19300,13.62,0,0.34,N,9
51,29500,MORTGAGE,12.8,EDUCATION,11800,14.55,0,0.4,N,4
34,43600,MORTGAGE,8.6,VENTURE,32200,22.04,0,0.74,N,4
46,68700,OWN,6.3,PERSONAL,7200,8.41,0,0.1,N,5
43,47700,RENT,0.3,PERSONAL,11500,12.01,0,0.24,Y,6
32,35200,RENT,1.2,EDUCATION,12600,,1,0.36,Y,3
47,108000,RENT,13.7,DEBTCONSOLIDATION,19200,11.0,0,0.18,N,5
39,94300,RENT,4.9,EDUCATION,13900,9.1,0,0.15,N,3
47,25500,RENT,3.2,PERSONAL,20100,19.8,1,0.79,Y,7
36,82400,RENT,5.3,VENTURE,23200,13.78,0,0.28,N,5
52,59500,RENT,1.0,DEBTCONSOLIDATION,9900,14.44,0,0.17,N,8
61,61700,MORTGAGE,11.2,EDUCATION,21800,12.63,0,0.35,N,17
34,127500,RENT,5.3,EDUCATION,13800,8.63,1,0.11,N,7
36,59000,RENT,3.2,EDUCATION,5600,8.58,0,0.09,N,5
33,80200,OWN,3.1,MEDICAL,10100,7.66,0,0.13,N,6
42,60900,RENT,8.6,MEDICAL,21800,13.41,0,0.36,N,4
47,61100,MORTGAGE,1.8,EDUCATION,11800,12.54,0,0.19,N,3
50,32600,MORTGAGE,0.7,VENTURE,6000,10.07,0,0.18,N,4
46,208900,RENT,1.0,EDUCATION,17100,9.65,0,0.08,N,6
50,12000,MORTGAGE,0.4,EDUCATION,23500,18.95,1,1.96,Y,5
43,36300,MORTGAGE,3.5,EDUCATION,7000,9.72,0,0.19,N,12
39,41400,RENT,,HOMEIMPROVEMENT,14900,13.22,0,0.36,N,4
36,89300,MORTGAGE,13.6,MEDICAL,8500,8.47,0,0.1,N,3
42,24900,MORTGAGE,6.9,MEDICAL,10800,14.93,0,0.43,N,5
36,49200,MORTGAGE,4.4,VENTURE,12200,12.84,0,0.25,N,2
47,83500,RENT,10.0,EDUCATION,2200,8.75,0,0.03,N,9
36,27700,RENT,,MEDICAL,11100,17.22,1,0.4,N,8
39,50200,RENT,6.2,EDUCATION,10300,8.2,1,0.21,Y,3
54,49400,RENT,0.3,MEDICAL,17900,12.28,0,0.36,N,2
55,39000,RENT,1.7,HOMEIMPROVEMENT,24700,20.27,1,0.63,Y,7
55,55300,RENT,2.0,EDUCATION,6400,11.28,0,0.12,N,6
43,42900,RENT,25.0,VENTURE,13600,14.37,0,0.32,N,14
39,92200,RENT,3.1,PERSONAL,9700,8.16,0,0.11,N,7
48,72500,RENT,7.2,DEBTCONSOLIDATION,31700,13.2,0,0.44,Y,2
36,49000,MORTGAGE,8.4,HOMEIMPROVEMENT,21100,15.74,1,0.43,Y,13
51,56200,RENT,5.3,MEDICAL,6700,11.64,0,0.12,N,10
38,43700,MORTGAGE,0.1,HOMEIMPROVEMENT,11400,14.65,0,0.26,N,19
42,113000,RENT,0.1,MEDICAL,6500,7.63,0,0.06,N,10
51,69500,MORTGAGE,8.5,DEBTCONSOLIDATION,21300,15.02,0,0.31,Y,7
31,50200,MORTGAGE,6.7,EDUCATION,13700,12.41,0,0.27,N,2
39,69000,OWN,3.8,EDUCATION,17300,9.43,0,0.25,N,3
47,153100,MORTGAGE,1.4,EDUCATION,15600,9.7,0,0.1,N,4
49,37200,RENT,0.5,MEDICAL,8000,7.91,0,0.22,N,7
47,88100,RENT,0.9,DEBTCONSOLIDATION,2900,,0,0.03,N,9
42,68000,MORTGAGE,,EDUCATION,24300,15.44,1,0.36,N,5
52,48100,RENT,3.9,EDUCATION,6000,11.63,0,0.12,N,10
36,36300,RENT,14.2,EDUCATION,21400,,1,0.59,Y,12
36,86900,MORTGAGE,,MEDICAL,8200,12.54,0,0.09,N,9
47,63600,RENT,4.3,EDUCATION,23600,13.36,0,0.37,N,15
35,119900,OWN,9.2,MEDICAL,16000,7.42,0,0.13,N,4
62,103000,RENT,8.4,HOMEIMPROVEMENT,12000,11.23,0,0.12,N,5
51,63900,MORTGAGE,7.0,VENTURE,17600,13.82,0,0.28,N,11
39,36400,OTHER,2.9,DEBTCONSOLIDATION,9700,11.74,1,0.27,N,5
52,167700,MORTGAGE,2.5,VENTURE,12300,9.62,0,0.07,N,2
34,38500,MORTGAGE,1.5,EDUCATION,22500,17.3,1,0.58,N,10
59,85500,MORTGAGE,13.8,VENTURE,2600,12.03,0,0.03,N,9
44,20400,MORTGAGE,9.0,HOMEIMPROVEMENT,9000,16.78,0,0.44,N,13
39,128500,RENT,1.0,VENTURE,19900,9.9,0,0.15,N,3
41,17700,MORTGAGE,,VENTURE,19300,20.25,1,1.09,Y,3
37,45600,RENT,4.4,PERSONAL,7700,9.51,0,0.17,N,2
42,30200,RENT,2.7,DEBTCONSOLIDATION,31100,23.17,1,1.03,Y,5
34,116700,RENT,1.2,VENTURE,18100,10.35,0,0.16,N,7
63,36000,MORTGAGE,7.8,MEDICAL,11400,11.86,0,0.32,N,5
39,72500,RENT,0.0,EDUCATION,11000,8.29,0,0.15,N,4
52,62700,MORTGAGE,2.1,EDUCATION,14500,12.7,0,0.23,N,5
45,24500,RENT,13.3,PERSONAL,4100,,0,0.17,N,8
36,95400,RENT,7.2,VENTURE,19100,10.75,0,0.2,N,4
42,53700,OTHER,2.6,EDUCATION,5300,7.93,0,0.1,N,4
56,124100,RENT,,PERSONAL,17500,13.66,0,0.14,N,4
40,75900,RENT,11.6,MEDICAL,21800,15.02,0,0.29,N,2
35,35700,RENT,0.3,MEDICAL,25800,19.23,1,0.72,N,4
49,48500,MORTGAGE,0.7,EDUCATION,7300,11.77,1,0.15,N,6
29,47700,MORTGAGE,,VENTURE,20000,15.36,0,0.42,N,9
41,83100,MORTGAGE,13.3,MEDICAL,31200,14.4,0,0.38,Y,5
57,81600,RENT,9.3,DEBTCONSOLIDATION,5300,12.02,0,0.06,N,7
42,37400,MORTGAGE,0.2,DEBTCONSOLIDATION,3800,10.95,0,0.1,Y,8
53,91200,MORTGAGE,3.6,EDUCATION,8600,7.07,0,0.09,N,3
35,67800,MORTGAGE,6.4,EDUCATION,8500,8.66,0,0.13,N,4
41,78300,MORTGAGE,1.6,MEDICAL,10500,10.34,0,0.13,N,13
41,72000,MORTGAGE,6.4,VENTURE,26800,16.31,0,0.37,N,6
48,85500,RENT,2.3,MEDICAL,18300,13.82,0,0.21,N,6
44,32400,RENT,1.6,MEDICAL,2700,7.31,0,0.08,N,7
29,60100,MORTGAGE,2.5,EDUCATION,13900,12.45,0,0.23,N,9
58,94300,RENT,15.1,MEDICAL,24500,10.51,0,0.26,N,21
39,100100,RENT,11.8,VENTURE,14700,,0,0.15,N,6
44,100000,RENT,12.3,HOMEIMPROVEMENT,8300,9.33,0,0.08,N,6
41,33300,RENT,12.5,DEBTCONSOLIDATION,28600,18.64,0,0.86,N,3
43,169900,MORTGAGE,1.0,DEBTCONSOLIDATION,10300,9.8,0,0.06,N,4
43,143000,RENT,11.3,VENTURE,11000,9.46,0,0.08,N,11
36,33700,MORTGAGE,1.2,MEDICAL,11100,12.04,0,0.33,N,6
51,46000,RENT,9.1,DEBTCONSOLIDATION,11900,15.07,0,0.26,N,9
38,79000,MORTGAGE,3.9,MEDICAL,19000,11.15,0,0.24,N,3
38,36400,MORTGAGE,,VENTURE,10400,13.15,0,0.29,N,3
32,74600,MORTGAGE,2.5,MEDICAL,13300,9.19,1,0.18,N,5
39,60900,RENT,2.8,PERSONAL,9500,14.32,0,0.16,N,8
38,110100,RENT,6.6,VENTURE,14100,9.66,0,0.13,N,15
25,68600,RENT,4.7,DEBTCONSOLIDATION,28200,15.26,0,0.41,Y,3
29,17700,RENT,8.5,VENTURE,9900,19.19,1,0.56,Y,9
42,87100,RENT,2.5,EDUCATION,22300,,0,0.26,N,7
58,106500,MORTGAGE,6.8,HOMEIMPROVEMENT,8700,7.25,0,0.08,N,5
33,52300,OWN,7.9,VENTURE,7300,6.0,0,0.14,N,8
43,58800,RENT,0.3,MEDICAL,6000,10.39,0,0.1,N,11
41,58900,RENT,2.4,MEDICAL,30800,15.28,0,0.52,N,10
49,39300,MORTGAGE,10.9,EDUCATION,15500,15.45,0,0.39,Y,12
50,210700,MORTGAGE,6.1,EDUCATION,14300,8.79,0,0.07,N,6
68,35200,RENT,2.7,VENTURE,2400,10.31,0,0.07,N,2
46,90300,OTHER,1.0,HOMEIMPROVEMENT,13600,9.79,0,0.15,N,9
37,90000,MORTGAGE,0.5,EDUCATION,17700,12.4,0,0.2,Y,3
39,42100,MORTGAGE,1.3,DEBTCONSOLIDATION,12200,11.75,0,0.29,N,9
40,32400,MORTGAGE,1.4,DEBTCONSOLIDATION,6900,11.68,0,0.21,N,5
38,51100,RENT,2.3,DEBTCONSOLIDATION,9600,9.86,0,0.19,N,2
61,79500,RENT,1.0,PERSONAL,19100,10.29,0,0.24,N,6
50,64100,RENT,0.8,VENTURE,13500,10.4,0,0.21,N,9
32,147100,RENT,9.3,EDUCATION,13500,9.72,0,0.09,N,6
48,39200,RENT,1.4,VENTURE,4200,6.69,0,0.11,N,6
35,39700,RENT,4.1,MEDICAL,14600,14.64,1,0.37,N,4
50,88000,RENT,1.1,EDUCATION,12400,12.68,0,0.14,N,3
55,21600,RENT,3.4,DEBTCONSOLIDATION,24700,22.05,0,1.14,N,5
42,39700,RENT,1.6,VENTURE,11600,11.51,0,0.29,N,4
39,50400,MORTGAGE,0.5,PERSONAL,16400,14.27,0,0.33,N,15
59,53800,RENT,20.1,VENTURE,27500,19.53,1,0.51,Y,4
38,41000,MORTGAGE,3.1,VENTURE,15400,14.92,1,0.38,N,4
37,19900,MORTGAGE,2.5,PERSONAL,3800,13.42,0,0.19,N,4
36,118000,RENT,1.1,MEDICAL,6300,8.74,0,0.05,N,3
43,114600,RENT,3.4,DEBTCONSOLIDATION,29600,14.93,1,0.26,Y,6
46,21700,MORTGAGE,5.0,MEDICAL,15100,18.1,1,0.7,N,6
53,78500,RENT,1.8,PERSONAL,8200,9.9,1,0.1,N,6
48,50300,MORTGAGE,3.3,MEDICAL,15500,12.55,0,0.31,Y,8
48,73700,MORTGAGE,1.4,PERSONAL,28900,14.67,0,0.39,N,3
56,63200,MORTGAGE,3.8,EDUCATION,4500,9.67,0,0.07,N,2
36,24300,MORTGAGE,7.7,HOMEIMPROVEMENT,14600,16.76,1,0.6,Y,8
33,84200,RENT,0.3,PERSONAL,7100,8.86,0,0.08,N,3
49,40000,MORTGAGE,3.6,PERSONAL,12900,16.94,0,0.32,N,3
42,13000,RENT,2.5,MEDICAL,17500,21.08,1,1.35,Y,7
53,60400,RENT,0.4,DEBTCONSOLIDATION,13100,13.89,0,0.22,N,6
43,22900,RENT,14.1,PERSONAL,29300,19.49,1,1.28,Y,8
38,101700,MORTGAGE,1.5,VENTURE,15800,13.1,1,0.16,N,18
49,46200,MORTGAGE,4.2,EDUCATION,29300,17.91,1,0.63,Y,2
44,56600,RENT,2.3,EDUCATION,10400,,0,0.18,N,10
43,72100,MORTGAGE,1.6,VENTURE,3400,7.51,0,0.05,N,2
70,57400,RENT,3.7,PERSONAL,7500,8.7,0,0.13,N,7
55,39100,RENT,5.8,PERSONAL,5400,9.4,0,0.14,Y,8
50,100800,OWN,7.7,VENTURE,19800,14.74,0,0.2,N,5
44,51000,RENT,5.0,EDUCATION,8200,12.96,0,0.16,N,2
44,29200,RENT,3.7,EDUCATION,20300,19.81,1,0.7,Y,7
41,65800,RENT,7.5,EDUCATION,14800,10.64,0,0.22,N,3
45,51800,RENT,3.6,EDUCATION,8700,9.78,0,0.17,N,4
39,53500,RENT,18.3,EDUCATION,16500,,0,0.31,N,6
34,58100,RENT,3.7,PERSONAL,2800,8.36,0,0.05,N,3
43,55900,RENT,1.9,VENTURE,10700,13.02,0,0.19,N,5
46,120800,RENT,3.0,HOMEIMPROVEMENT,21200,11.6,0,0.18,N,7
53,34900,MORTGAGE,3.4,PERSONAL,20100,21.69,1,0.58,N,5
37,17200,MORTGAGE,1.7,MEDICAL,21400,18.1,1,1.24,Y,10
44,54200,RENT,0.9,PERSONAL,15900,13.19,0,0.29,N,6
48,85600,MORTGAGE,2.8,EDUCATION,15600,8.94,0,0.18,N,6
48,22900,RENT,11.4,HOMEIMPROVEMENT,12100,16.63,1,0.53,N,6
60,66200,RENT,1.5,VENTURE,28300,16.77,1,0.43,Y,9
41,25000,MORTGAGE,2.2,EDUCATION,28300,20.41,1,1.13,N,9
37,86200,MORTGAGE,7.1,VENTURE,2500,7.42,0,0.03,N,5
44,54500,RENT,0.4,HOMEIMPROVEMENT,29200,18.25,1,0.54,Y,7
41,33400,RENT,8.7,DEBTCONSOLIDATION,24300,18.93,1,0.73,N,4
40,22400,RENT,6.4,MEDICAL,16300,18.48,1,0.73,Y,8
39,179800,MORTGAGE,4.0,MEDICAL,10600,9.29,0,0.06,N,5
46,192500,MORTGAGE,1.2,DEBTCONSOLIDATION,12400,7.19,0,0.06,N,5
38,29900,RENT,0.5,DEBTCONSOLIDATION,23400,19.99,1,0.78,Y,4
50,29500,RENT,1.3,DEBTCONSOLIDATION,7300,14.15,0,0.25,N,28
50,56600,RENT,7.2,HOMEIMPROVEMENT,16700,12.61,1,0.3,Y,11
47,43800,MORTGAGE,13.6,VENTURE,8900,11.81,0,0.2,N,3
36,45300,RENT,6.7,DEBTCONSOLIDATION,11600,15.42,0,0.26,Y,2
46,63300,RENT,3.7,MEDICAL,2200,6.59,0,0.03,N,3
54,155600,RENT,15.0,DEBTCONSOLIDATION,29800,10.43,0,0.19,N,8
51,114600,RENT,8.8,MEDICAL,6400,6.73,0,0.06,N,21
50,45400,RENT,5.3,VENTURE,20500,18.24,0,0.45,N,7
44,80600,MORTGAGE,0.2,VENTURE,15300,11.08,0,0.19,N,4
43,19600,RENT,1.7,DEBTCONSOLIDATION,22700,22.63,1,1.16,Y,3
56,58400,MORTGAGE,1.8,EDUCATION,14300,13.13,1,0.24,N,2
46,47600,MORTGAGE,2.1,HOMEIMPROVEMENT,31300,20.51,1,0.66,N,5
46,92000,RENT,2.5,VENTURE,16400,10.59,0,0.18,N,8
70,76300,MORTGAGE,14.0,VENTURE,16600,,0,0.22,N,2
41,64200,RENT,6.8,DEBTCONSOLIDATION,26600,,1,0.41,Y,9
29,69800,RENT,5.9,PERSONAL,9400,12.14,0,0.13,N,5
42,42700,OWN,2.8,HOMEIMPROVEMENT,11300,15.21,0,0.26,N,9
43,92200,MORTGAGE,2.1,VENTURE,17800,8.71,0,0.19,N,4
46,69800,RENT,0.6,VENTURE,7200,10.15,0,0.1,N,8
48,49600,RENT,3.0,HOMEIMPROVEMENT,22000,17.16,1,0.44,Y,6
30,57200,RENT,,HOMEIMPROVEMENT,16000,14.41,1,0.28,Y,12
48,86200,RENT,2.5,EDUCATION,20300,13.7,0,0.24,N,6
43,90800,RENT,0.9,MEDICAL,32100,15.02,0,0.35,N,4
41,44900,RENT,2.1,PERSONAL,30500,19.96,1,0.68,N,8
32,33100,MORTGAGE,0.2,HOMEIMPROVEMENT,12900,15.48,0,0.39,Y,4
58,42200,MORTGAGE,0.0,VENTURE,9800,14.08,0,0.23,N,9
40,43400,RENT,10.2,PERSONAL,17000,,0,0.39,N,2
50,58000,MORTGAGE,5.1,EDUCATION,19000,15.76,0,0.33,N,6
37,104700,RENT,4.4,VENTURE,10000,12.05,0,0.1,N,5
46,41800,RENT,3.6,EDUCATION,9800,11.63,0,0.23,N,4
41,67100,MORTGAGE,6.5,MEDICAL,8600,10.08,0,0.13,N,6
49,49000,MORTGAGE,6.7,EDUCATION,26100,16.68,0,0.53,N,2
41,54700,RENT,13.7,EDUCATION,6300,8.06,0,0.12,N,11
37,64000,RENT,1.4,HOMEIMPROVEMENT,9200,10.8,0,0.14,N,6
43,104900,OWN,7.7,MEDICAL,16800,13.26,0,0.16,N,9
43,62100,MORTGAGE,23.6,VENTURE,13300,11.24,0,0.21,Y,14
46,13100,RENT,0.1,EDUCATION,6700,18.38,0,0.51,N,8
53,48600,RENT,2.3,DEBTCONSOLIDATION,9900,14.59,0,0.2,N,8
35,128400,OWN,2.9,PERSONAL,12100,9.91,0,0.09,N,9
52,101500,RENT,8.6,EDUCATION,29000,11.74,0,0.29,Y,7
34,83700,RENT,0.1,EDUCATION,11900,10.56,0,0.14,N,4
49,103600,RENT,,MEDICAL,6600,6.57,0,0.06,N,5
49,85200,RENT,11.2,PERSONAL,30100,12.14,0,0.35,N,7
40,102500,RENT,0.8,EDUCATION,12600,10.98,0,0.12,N,2
37,29300,MORTGAGE,0.6,EDUCATION,7200,,0,0.25,N,9
37,52400,RENT,19.0,MEDICAL,16500,10.88,0,0.31,N,12
44,58800,MORTGAGE,8.7,EDUCATION,22000,11.31,0,0.37,N,2
50,55800,RENT,6.0,PERSONAL,19000,16.32,0,0.34,N,7
42,39400,RENT,2.5,EDUCATION,10300,12.55,0,0.26,N,3
29,58700,MORTGAGE,9.6,HOMEIMPROVEMENT,9100,9.66,0,0.16,N,8
39,21300,OWN,12.8,MEDICAL,24800,18.34,1,1.16,Y,12
39,69500,MORTGAGE,6.6,EDUCATION,8300,10.71,0,0.12,N,6
48,37400,RENT,2.5,EDUCATION,20300,17.49,1,0.54,Y,9
48,16400,RENT,,MEDICAL,3500,11.46,0,0.21,N,7
45,54700,MORTGAGE,0.5,DEBTCONSOLIDATION,12300,9.3,0,0.22,N,4
52,126900,MORTGAGE,0.9,MEDICAL,31300,14.9,0,0.25,N,5
53,19000,MORTGAGE,7.6,EDUCATION,17000,21.66,1,0.89,Y,11
40,47400,OWN,0.1,VENTURE,10300,12.87,0,0.22,N,13
37,22200,RENT,0.3,MEDICAL,18700,21.2,1,0.84,N,7
43,62400,MORTGAGE,3.5,VENTURE,11100,15.37,0,0.18,N,3
31,87500,RENT,0.9,MEDICAL,27600,12.61,1,0.32,Y,9
45,34700,MORTGAGE,1.7,PERSONAL,9000,12.05,0,0.26,N,6
39,42900,MORTGAGE,2.5,DEBTCONSOLIDATION,10500,13.39,0,0.24,N,4
70,49900,MORTGAGE,3.7,DEBTCONSOLIDATION,18400,13.54,0,0.37,N,8
57,107100,MORTGAGE,1.7,PERSONAL,21500,9.16,0,0.2,N,12
38,25100,MORTGAGE,3.3,MEDICAL,15700,19.72,1,0.63,Y,8
36,42200,MORTGAGE,2.3,VENTURE,9900,13.11,0,0.23,N,7
38,128500,OWN,0.4,PERSONAL,15600,13.26,0,0.12,N,4
53,36300,RENT,10.1,EDUCATION,8700,12.41,0,0.24,Y,8
53,43600,OTHER,1.7,PERSONAL,5000,13.15,0,0.11,N,4
58,59800,RENT,4.7,PERSONAL,26600,12.2,0,0.44,N,9
37,194800,RENT,4.2,PERSONAL,13600,7.51,0,0.07,N,9
48,29300,RENT,,MEDICAL,13600,16.03,1,0.46,Y,8
37,82100,RENT,0.2,VENTURE,20000,14.88,0,0.24,Y,6
60,28200,MORTGAGE,9.7,EDUCATION,15300,16.68,0,0.54,N,8
37,31100,RENT,3.4,EDUCATION,13000,16.53,0,0.42,N,5
34,40800,OWN,2.7,PERSONAL,21500,19.45,0,0.53,N,7
35,70000,RENT,7.2,MEDICAL,13500,13.41,0,0.19,N,4
43,40000,RENT,0.2,VENTURE,26200,23.22,1,0.66,Y,8
50,58300,MORTGAGE,7.2,MEDICAL,10200,7.88,0,0.17,N,6
49,36500,MORTGAGE,2.6,EDUCATION,4000,8.75,0,0.11,N,8
35,56700,MORTGAGE,4.0,PERSONAL,7400,13.72,0,0.13,N,6
